CustomerKey,GeographyKey,FirstName,LastName,BirthDate,MaritalStatus,Gender,EmailAddress,YearlyIncome,TotalChildren,NumberChildrenAtHome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,AddressLine1,AddressLine2,Customer_Phone,DateFirstPurchase,CommuteDistance
21768,53,Cole,Watson,2/19/1952,S,M,cole1@adventure-works.com,70000,5,0,Bachelors,Management,1,3,601 Asilomar Dr.,,110-555-0129,12/29/2010,10+ Miles
22975,53,Courtney,Turner,3/11/1984,S,F,courtney2@adventure-works.com,30000,0,0,Partial High School,Clerical,0,2,6131 Orangewood Court,,111-555-0190,7/6/2011,0-1 Miles
28620,53,Cole,Richardson,8/30/1969,M,M,cole11@adventure-works.com,30000,2,0,High School,Skilled Manual,1,2,3543 Lori Dr.,,455-555-0149,8/11/2011,1-2 Miles
23137,62,Chloe,Sanders,10/19/1968,M,F,chloe65@adventure-works.com,80000,2,1,Bachelors,Management,0,1,2320 Wee Donegal,,466-555-0127,8/11/2011,0-1 Miles
28161,57,Jessica,Perry,3/6/1984,S,F,jessica32@adventure-works.com,60000,1,0,Bachelors,Professional,0,1,1867 Sahara Drive,,435-555-0148,8/11/2011,0-1 Miles
22998,53,Lauren,Washington,11/23/1979,M,F,lauren60@adventure-works.com,80000,0,0,Bachelors,Management,1,1,8874 Folson Drive,,199-555-0128,8/27/2011,1-2 Miles
23830,53,Cameron,White,3/5/1978,M,M,cameron31@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,6096 Pheasant Circle,,297-555-0143,10/13/2011,1-2 Miles
23806,52,Olivia,Foster,2/16/1964,M,F,olivia61@adventure-works.com,30000,2,0,High School,Skilled Manual,1,2,246 Weatherly Way,,308-555-0132,10/27/2011,1-2 Miles
24757,41,Alisha,She,1/6/1969,M,F,alisha24@adventure-works.com,40000,1,0,Partial College,Clerical,1,1,8892 Oak Grove Road,,751-555-0159,12/25/2011,1-2 Miles
23283,62,Haley,Torres,12/20/1969,S,F,haley14@adventure-works.com,40000,2,0,Partial College,Clerical,1,1,9275 Keller Ridge Dr.,,175-555-0194,9/13/2011,1-2 Miles
22785,54,Oscar,Perry,7/12/1957,M,M,oscar16@adventure-works.com,70000,2,1,Partial High School,Skilled Manual,1,3,6503 Geneva Lane,,678-555-0179,7/3/2011,10+ Miles
22889,58,Julia,Long,5/22/1970,M,F,julia75@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,2528 Fall Creek Road,,721-555-0117,7/20/2011,2-5 Miles
24646,62,Juan,Murphy,1/9/1950,M,M,juan25@adventure-works.com,30000,4,0,High School,Professional,1,2,8476 Eastgate Ave.,,906-555-0146,12/21/2011,10+ Miles
22050,43,Richard,Bailey,8/17/1973,S,M,richard97@adventure-works.com,90000,4,4,Bachelors,Management,1,1,5826 Limewood Pl.,,818-555-0146,2/27/2011,1-2 Miles
22299,59,Richard,Murphy,12/23/1974,S,M,richard96@adventure-works.com,70000,4,2,Bachelors,Professional,1,2,4528 Summit View Dr.,,258-555-0135,6/7/2011,2-5 Miles
23846,68,Aidan,Diaz,12/18/1974,M,M,aidan23@adventure-works.com,60000,2,2,Bachelors,Skilled Manual,1,0,7178 B Avenue I,,342-555-0173,10/26/2011,2-5 Miles
28647,60,Hannah,Foster,9/6/1983,M,F,hannah37@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,3754 Olive Ave.,,950-555-0181,8/20/2011,1-2 Miles
22252,59,Makayla,Brooks,1/5/1976,S,F,makayla1@adventure-works.com,60000,1,0,Graduate Degree,Professional,1,0,6693 Ryan Rd,,336-555-0117,6/23/2011,2-5 Miles
24342,66,Evan,Campbell,10/22/1966,M,M,evan31@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,9585 Macarthur Ave.,,645-555-0133,11/6/2011,2-5 Miles
22247,62,Ryan,Williams,4/6/1975,M,M,ryan41@adventure-works.com,50000,2,2,Bachelors,Skilled Manual,1,0,5075 William Reed Dr.,,543-555-0176,6/20/2011,0-1 Miles
23858,59,Jonathan,Powell,3/4/1974,M,M,jonathan8@adventure-works.com,70000,2,2,Bachelors,Skilled Manual,1,0,2728 Clown Court,,366-555-0165,10/1/2011,2-5 Miles
23397,56,Isabelle,Bryant,10/16/1965,M,F,isabelle16@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,5025 Blue Jay Drive,,259-555-0150,10/10/2011,2-5 Miles
28178,69,Katherine,James,4/23/1978,S,F,katherine20@adventure-works.com,60000,0,0,Partial College,Skilled Manual,0,1,5806 West Slough Rd,,195-555-0129,8/6/2011,2-5 Miles
21921,59,Lucas,Collins,1/30/1967,M,M,lucas12@adventure-works.com,60000,1,0,Partial College,Skilled Manual,1,1,8108 Abbey Court,,367-555-0120,2/20/2011,0-1 Miles
28630,66,Jack,Zimmerman,11/9/1970,S,M,jack24@adventure-works.com,40000,2,0,Partial College,Clerical,1,1,1133 Leisure Lane,,715-555-0157,8/2/2011,1-2 Miles
22233,50,Xavier,Martin,10/20/1977,M,M,xavier12@adventure-works.com,50000,1,1,Graduate Degree,Skilled Manual,1,0,4539 Leeds Ct,,398-555-0127,5/18/2011,0-1 Miles
22121,50,Jackson,Henderson,11/9/1957,M,M,jackson7@adventure-works.com,40000,3,0,Partial College,Professional,0,2,6715 North Park Court,,547-555-0182,5/18/2011,1-2 Miles
28129,66,Justin,Griffin,9/3/1979,S,M,justin18@adventure-works.com,50000,0,0,High School,Skilled Manual,0,2,4891 Olivera Rd,,430-555-0145,8/13/2011,1-2 Miles
21727,64,Arianna,Flores,12/22/1978,M,F,arianna10@adventure-works.com,40000,0,0,Graduate Degree,Skilled Manual,1,0,4082 Shell Ct,,580-555-0124,1/27/2011,1-2 Miles
28198,66,Jared,Moyer,8/10/1963,M,M,jared16@adventure-works.com,60000,1,0,Bachelors,Professional,0,1,2201 Huston Road,,173-555-0182,8/12/2011,0-1 Miles
29140,632,Richard,Ward,11/24/1974,S,M,richard84@adventure-works.com,60000,3,2,Graduate Degree,Professional,1,0,5592 Eagle Peak Ave.,,667-555-0151,7/6/2011,2-5 Miles
